ROUTE,num_flights,avg_delay_minutes,delayed_percentage
DFW_MFE,6822,21.77,27.56
TVC_DEN,558,21.77,24.73
BQN_FLL,1098,21.76,24.23
DFW_IND,5616,21.75,28.37
DRO_DFW,3284,21.73,21.16
ESC_DTW,971,21.73,15.04
AUS_OKC,1432,21.73,20.74
EWR_CLT,11290,21.73,22.54
MIA_LAX,10307,21.73,26.46
DCA_SAV,2599,21.72,25.93
CLE_PHL,3183,21.71,24.16
DFW_SJU,2651,21.71,29.72
MCO_SDF,2718,21.7,28.33
TPA_LGA,7811,21.7,22.79
DFW_MEM,7172,21.7,28.0
DFW_FLL,8378,21.69,28.52
PNS_FLL,1123,21.69,27.6
LFT_DFW,4622,21.69,21.79
JFK_DTW,5141,21.68,22.99
AUS_EWR,5777,21.68,22.71
CLT_CLE,5568,21.66,26.42
BQN_EWR,1053,21.65,23.84
MYR_MCO,1262,21.65,23.93
ILM_DCA,2320,21.64,22.28
HNL_EWR,516,21.64,21.12
